,Commune,Département,Région
0,Abong-Mbang,Haut-Nyong,Est
1,Afanloum,Méfou-et-Afamba,Centre
2,Ako,Donga-Mantung,Nord-Ouest
3,Akoeman,Nyong-et-So'o,Centre
4,Akom II,Océan,Sud
5,Akono,Méfou-et-Akono,Centre
6,Akonolinga,Nyong-et-Mfoumou,Centre
7,Akwaya,Manyu,Sud-Ouest
8,Alou,Lebialem,Sud-Ouest
9,Ambam,Vallée-du-Ntem,Sud
10,Andek,Momo,Nord-Ouest
11,Angossas,Haut-Nyong,Est
12,Atok,Haut-Nyong,Est
13,Awaé,Méfou-et-Afamba,Centre
14,Ayos,Nyong-et-Mfoumou,Centre
15,Babadjou,Bamboutos,Ouest
16,Babessi,Ngo-Ketunjia,Nord-Ouest
17,Bafang,Haut-Nkam,Ouest
18,Bafia,Mbam-et-Inoubou,Centre
19,Bafoussam Ier,Mifi,Ouest
20,Bafoussam IIe,Mifi,Ouest
21,Bafoussam IIIe,Mifi,Ouest
22,Bafut,Mezam,Nord-Ouest
23,Baham,Hauts-Plateaux,Ouest
24,Bakou,Haut-Nkam,Ouest
25,Bali,Mezam,Nord-Ouest
26,Balikumbat,Ngo-Ketunjia,Nord-Ouest
27,Bamenda Ier,Mezam,Nord-Ouest
28,Bamenda IIe,Mezam,Nord-Ouest
29,Bamenda IIIe,Mezam,Nord-Ouest
30,Bamendjou,Hauts-Plateaux,Ouest
31,Bamusso,Ndian,Sud-Ouest
32,Bana,Haut-Nkam,Ouest
33,Bandja,Haut-Nkam,Ouest
34,Bandjoun,Koung-Khi,Ouest
35,Bangangté,Ndé,Ouest
36,Bangem,Koupé-Manengouba,Sud-Ouest
37,Banka,Haut-Nkam,Ouest
38,Bangou,Hauts-Plateaux,Ouest
39,Bangourain,Noun,Ouest
40,Bankim,Mayo-Banyo,Adamaoua
41,Banwa,Haut-Nkam,Ouest
42,Banyo,Mayo-Banyo,Adamaoua
43,Baré,Moungo,Littoral
44,Barndaké,Bénoué,Nord
45,Bashéo,Bénoué,Nord
46,Bassamba,Ndé,Ouest
47,Batcham,Bamboutos,Ouest
48,Batchenga,Lekié,Centre
49,Batibo,Momo,Nord-Ouest
50,Batié,Hauts-Plateaux,Ouest
51,Batouri,Kadey,Est
52,Bayangam,Koung-Khi,Ouest
53,Bazou,Ndé,Ouest
54,Beka,Faro,Nord
55,Bélabo,Lom-et-Djérem,Est
56,Belel,Vina,Adamaoua
57,Belo,Boyo,Nord-Ouest
58,Benakuma,Menchum,Nord-Ouest
59,Bengbis,Dja-et-Lobo,Sud
60,Bertoua Ier,Lom-et-Djérem,Est
61,Bertoua IIe,Lom-et-Djérem,Est
62,Bétaré-Oya,Lom-et-Djérem,Est
63,Bibemi,Bénoué,Nord
64,Bibey,Haute-Sanaga,Centre
65,Bikok,Méfou-et-Akono,Centre
66,Bipindi,Océan,Sud
67,Biwong-Bane,Mvila,Sud
68,Biwong-Bulu,Mvila,Sud
69,Biyouha,Nyong-et-Kéllé,Centre
70,Blangoua,Logone-et-Chari,Extrême-Nord
71,Bogo,Diamaré,Extrême-Nord
72,Bokito,Mbam-et-Inoubou,Centre
73,Bonaléa,Moungo,Littoral
74,Bondjock,Nyong-et-Kéllé,Centre
75,Bot-Makak,Nyong-et-Kéllé,Centre
76,Bourrha,Mayo-Tsanaga,Extrême-Nord
77,Buéa,Fako,Sud-Ouest
78,Campo,Océan,Sud
79,Dargala,Diamaré,Extrême-Nord
80,Darak,Diamaré,Extrême-Nord
81,Datcheka,Mayo-Danay,Extrême-Nord
82,Dembo,Bénoué,Nord
83,Demdeng,Koung-Khi,Ouest
84,Deuk,Mbam-et-Inoubou,Centre
85,Diang,Lom-et-Djérem,Est
86,Dibamba,Sanaga-Maritime,Littoral
87,Dibang,Nyong-et-Kéllé,Centre
88,Dibombari,Moungo,Littoral
89,Dikome-Balue,Ndian,Sud-Ouest
90,Dimako,Haut-Nyong,Est
91,Dir,Mbéré,Adamaoua
92,Dizangué,Sanaga-Maritime,Littoral
93,Djohong,Mbéré,Adamaoua
94,Djoum,Dja-et-Lobo,Sud
95,Douala Ier,Wouri,Littoral
96,Douala IIe,Wouri,Littoral
97,Douala IIIe,Wouri,Littoral
98,Douala IVe,Wouri,Littoral
99,Douala Ve,Wouri,Littoral
100,Douala VIe,Wouri,Littoral
101,Doumaintang,Haut-Nyong,Est
102,Doumé,Haut-Nyong,Est
103,Dschang,Menoua,Ouest
104,Dzeng,Nyong-et-So'o,Centre
105,Dziguilao,Mayo-Kani,Extrême-Nord
106,Ebebda,Lekié,Centre
107,Ebolowa Ier,Mvila,Sud
108,Ebolowa IIe,Mvila,Sud
109,Ebone,Moungo,Littoral
110,Édéa Ier,Sanaga-Maritime,Littoral
111,Édéa IIe,Sanaga-Maritime,Littoral
112,Edzendouan,Méfou-et-Afamba,Centre
113,Efoulan,Mvila,Sud
114,Ekondo-Titi,Ndian,Sud-Ouest
115,Elak-Oku,Bui,Nord-Ouest
116,Elig-Mfomo,Lekié,Centre
117,Endom,Nyong-et-Mfoumou,Centre
118,Éséka,Nyong-et-Kéllé,Centre
119,Esse,Méfou-et-Afamba,Centre
120,Evodoula,Lekié,Centre
121,Eyumodjock,Manyu,Sud-Ouest
122,Figuil,Mayo-Louti,Nord
123,Fokoué,Menoua,Ouest
124,Fonfuka,Boyo,Nord-Ouest
125,Fongo-Tongo,Menoua,Ouest
126,Fotokol,Logone-et-Chari,Extrême-Nord
127,Foumban,Noun,Ouest
128,Foumbot,Noun,Ouest
129,Fundong,Boyo,Nord-Ouest
130,Furu-Awa,Menchum,Nord-Ouest
131,Galim,Bamboutos,Ouest
132,Galim-Tignère,Faro-et-Déo,Adamaoua
133,Gari-Gombo,Boumba-et-Ngoko,Est
134,Garoua Ier,Bénoué,Nord
135,Garoua IIe,Bénoué,Nord
136,Garoua IIIe,Bénoué,Nord
137,Garoua-Boulaï,Lom-et-Djérem,Est
138,Gashiga,Bénoué,Nord
139,Gazawa,Diamaré,Extrême-Nord
140,Gobo,Mayo-Danay,Extrême-Nord
141,Goulfey,Logone-et-Chari,Extrême-Nord
142,Guémé,Mayo-Danay,Extrême-Nord
143,Guéré,Mayo-Danay,Extrême-Nord
144,Guider,Mayo-Louti,Nord
145,Guidiguis,Mayo-Kani,Extrême-Nord
146,Hile-Alifa,Logone-et-Chari,Extrême-Nord
147,Hina,Mayo-Tsanaga,Extrême-Nord
148,Idabato,Ndian,Sud-Ouest
149,Isanguele,Ndian,Sud-Ouest
150,Jakiri,Bui,Nord-Ouest
151,Kaélé,Mayo-Kani,Extrême-Nord
152,Kai-Kai,Mayo-Danay,Extrême-Nord
153,Kalfou,Mayo-Danay,Extrême-Nord
154,Kar-Hay,Mayo-Danay,Extrême-Nord
155,Kekem,Haut-Nkam,Ouest
156,Kentzou,Kadey,Est
157,Kette,Kadey,Est
158,Kiiki,Mbam-et-Inoubou,Centre
159,Kobdombo,Nyong-et-Mfoumou,Centre
160,Kolofata,Mayo-Sava,Extrême-Nord
161,Kombo-Abedimo,Ndian,Sud-Ouest
162,Kombo-Idinti,Ndian,Sud-Ouest
163,Kon-Yambetta,Mbam-et-Inoubou,Centre
164,Kontcha,Faro-et-Déo,Adamaoua
165,Konye,Meme,Sud-Ouest
166,Kouoptamo,Noun,Ouest
167,Kousséri,Logone-et-Chari,Extrême-Nord
168,Koutaba,Noun,Ouest
169,Koza,Mayo-Tsanaga,Extrême-Nord
170,Kribi Ier,Océan,Sud
171,Kribi IIe,Océan,Sud
172,Kumba Ier,Meme,Sud-Ouest
173,Kumba IIe,Meme,Sud-Ouest
174,Kumba IIIe,Meme,Sud-Ouest
175,Kumbo,Bui,Nord-Ouest
176,Kyé-Ossi,Vallée-du-Ntem,Sud
177,Lagdo,Bénoué,Nord
178,Lembe-Yezoum,Haute-Sanaga,Centre
179,Limbé Ier,Fako,Sud-Ouest
180,Limbé IIe,Fako,Sud-Ouest
181,Limbé IIIe,Fako,Sud-Ouest
182,Lobo,Lekié,Centre
183,Logone-Birni,Logone-et-Chari,Extrême-Nord
184,Lokoundjé,Océan,Sud
185,Lolodorf,Océan,Sud
186,Lomié,Haut-Nyong,Est
187,Loum,Moungo,Littoral
188,Ma'an,Vallée-du-Ntem,Sud
189,Madingring,Mayo-Rey,Nord
190,Maga,Mayo-Danay,Extrême-Nord
191,Magba,Noun,Ouest
192,Makary,Logone-et-Chari,Extrême-Nord
193,Makak,Nyong-et-Kéllé,Centre
194,Makénéné,Mbam-et-Inoubou,Centre
195,Malentouen,Noun,Ouest
196,Mamfé,Manyu,Sud-Ouest
197,Mandjou,Lom-et-Djérem,Est
198,Manjo,Moungo,Littoral
199,Maroua Ier,Diamaré,Extrême-Nord
200,Maroua IIe,Diamaré,Extrême-Nord
201,Maroua IIIe,Diamaré,Extrême-Nord
202,Martap,Vina,Adamaoua
203,Massangam,Noun,Ouest
204,Massock-Songloulou,Sanaga-Maritime,Littoral
205,Matomb,Nyong-et-Kéllé,Centre
206,Mayo-Baléo,Faro-et-Déo,Adamaoua
207,Mayo-Darlé,Mayo-Banyo,Adamaoua
208,Mayo-Oulo,Mayo-Louti,Nord
209,Mbalmayo,Nyong-et-So'o,Centre
210,Mbandjock,Haute-Sanaga,Centre
211,Mbang,Kadey,Est
212,Mbanga,Moungo,Littoral
213,Mbangassina,Mbam-et-Kim,Centre
214,Mbankomo,Méfou-et-Akono,Centre
215,Mbe,Vina,Adamaoua
216,Mbengwi,Momo,Nord-Ouest
217,Mbiame,Bui,Nord-Ouest
218,Mboma,Haut-Nyong,Est
219,Mbonge,Meme,Sud-Ouest
220,Mbouda,Bamboutos,Ouest
221,Meiganga,Mbéré,Adamaoua
222,Melong,Moungo,Littoral
223,Mengang,Nyong-et-Mfoumou,Centre
224,Mengong,Mvila,Sud
225,Mengueme,Nyong-et-So'o,Centre
226,Menji,Lebialem,Sud-Ouest
227,Meri,Diamaré,Extrême-Nord
228,Messamena,Haut-Nyong,Est
229,Messok,Haut-Nyong,Est
230,Messondo,Nyong-et-Kéllé,Centre
231,Meyomessala,Mfoundi,Sud
232,Meyomessi,Mfoundi,Sud
233,Mfou,Méfou-et-Afamba,Centre
234,Mindif,Mayo-Kani,Extrême-Nord
235,Mindourou,Haut-Nyong,Est
236,Minta,Haute-Sanaga,Centre
237,Mintom,Dja-et-Lobo,Sud
238,Misaje,Donga-Mantung,Nord-Ouest
239,Mogodé,Mayo-Tsanaga,Extrême-Nord
240,Mokolo,Mayo-Tsanaga,Extrême-Nord
241,Moloundou,Boumba-et-Ngoko,Est
242,Mombo,Moungo,Littoral
243,Monatélé,Lekié,Centre
244,Mora,Mayo-Sava,Extrême-Nord
245,Mouanko,Sanaga-Maritime,Littoral
246,Moulvoudaye,Mayo-Kani,Extrême-Nord
247,Moutourwa,Mayo-Kani,Extrême-Nord
248,Mozogo,Mayo-Tsanaga,Extrême-Nord
249,Mundemba,Ndian,Sud-Ouest
250,Muyuka,Fako,Sud-Ouest
251,Mvangan,Mvila,Sud
252,Mvengue,Océan,Sud
253,Nanga-Eboko,Haute-Sanaga,Centre
254,Ndelele,Kadey,Est
255,Ndikiniméki,Mbam-et-Inoubou,Centre
256,Ndobian,Nkam,Littoral
257,Ndom,Sanaga-Maritime,Littoral
258,Ndop,Ngo-Ketunjia,Nord-Ouest
259,Ndoukoula,Diamaré,Extrême-Nord
260,Ndu,Donga-Mantung,Nord-Ouest
261,Nganha,Vina,Adamaoua
262,Ngambe,Sanaga-Maritime,Littoral
263,Ngambè-Tikar,Mbam-et-Kim,Centre
264,Ngaoui,Mbéré,Adamaoua
265,Ngaoundal,Djerem,Adamaoua
266,Ngaoundéré Ier,Vina,Adamaoua
267,Ngaoundéré IIe,Vina,Adamaoua
268,Ngaoundéré IIIe,Vina,Adamaoua
269,Ngog-Mapubi,Nyong-et-Kéllé,Centre
270,Ngomedzap,Nyong-et-So'o,Centre
271,Ngong,Bénoué,Nord
272,Ngoro,Mbam-et-Kim,Centre
273,Ngoulemakong,Mvila,Sud
274,Ngoumou,Méfou-et-Akono,Centre
275,Ngoura,Lom-et-Djérem,Est
276,Ngoyla,Haut-Nyong,Est
277,Nguelebok,Kadey,Est
278,Nguelemendouka,Haut-Nyong,Est
279,Ngui-Bassal,Nyong-et-Kéllé,Centre
280,Nguti,Koupé-Manengouba,Sud-Ouest
281,Ngwei,Sanaga-Maritime,Littoral
282,Niete,Océan,Sud
283,Nitoukou,Mbam-et-Inoubou,Centre
284,Njikwa,Momo,Nord-Ouest
285,Njimom,Noun,Ouest
286,Njinikom,Boyo,Nord-Ouest
287,Nkambé,Donga-Mantung,Nord-Ouest
288,Nkolafamba,Méfou-et-Afamba,Centre
289,Nkolmetet,Nyong-et-So'o,Centre
290,Nkondjock,Nkam,Littoral
291,Nkongsamba Ier,Moungo,Littoral
292,Nkongsamba IIe,Moungo,Littoral
293,Nkongsamba IIIe,Moungo,Littoral
294,Nkong-Zem,Menoua,Ouest
295,Nkor,Bui,Nord-Ouest
296,Nkoteng,Haute-Sanaga,Centre
297,Nkum,Bui,Nord-Ouest
298,Nsem,Haute-Sanaga,Centre
299,Ntui,Mbam-et-Kim,Centre
300,Nwa,Donga-Mantung,Nord-Ouest
301,Nyambaka,Vina,Adamaoua
302,Nyanon,Sanaga-Maritime,Littoral
303,Obala,Lekié,Centre
304,Okola,Lekié,Centre
305,Olamze,Vallée-du-Ntem,Sud
306,Olanguina,Méfou-et-Afamba,Centre
307,Ombessa,Mbam-et-Inoubou,Centre
308,Ouli,Kadey,Est
309,Oveng,Dja-et-Lobo,Sud
310,Penja,Moungo,Littoral
311,Penka-Michel,Menoua,Ouest
312,Petté,Diamaré,Extrême-Nord
313,Pitoa,Bénoué,Nord
314,Poli,Faro,Nord
315,Pouma,Sanaga-Maritime,Littoral
316,Rey-Bouba,Mayo-Rey,Nord
317,Sa'a,Lekié,Centre
318,Salapoumbé,Boumba-et-Ngoko,Est
319,Sangmélima,Dja-et-Lobo,Sud
320,Santa,Mezam,Nord-Ouest
321,Santchou,Menoua,Ouest
322,Soa,Méfou-et-Afamba,Centre
323,Somalomo,Haut-Nyong,Est
324,Soulédé-Roua,Mayo-Tsanaga,Extrême-Nord
325,Tchati-Bali,Mayo-Danay,Extrême-Nord
326,Tcholliré,Mayo-Rey,Nord
327,Tibati,Djerem,Adamaoua
328,Tignère,Faro-et-Déo,Adamaoua
329,Tiko,Fako,Sud-Ouest
330,Toko,Ndian,Sud-Ouest
331,Tokombéré,Mayo-Sava,Extrême-Nord
332,Tombel,Koupé-Manengouba,Sud-Ouest
333,Tonga,Ndé,Ouest
334,Touboro,Mayo-Rey,Nord
335,Touloum,Mayo-Kani,Extrême-Nord
336,Touroua,Bénoué,Nord
337,Tubah,Mezam,Nord-Ouest
338,Upper Bayang,Manyu,Sud-Ouest
339,Wabane,Lebialem,Sud-Ouest
340,Waza,Logone-et-Chari,Extrême-Nord
341,West Coast,Fako,Sud-Ouest
342,Widikum-Boffe,Momo,Nord-Ouest
343,Wina,Mayo-Danay,Extrême-Nord
344,Wum,Menchum,Nord-Ouest
345,Yabassi,Nkam,Littoral
346,Yagoua,Mayo-Danay,Extrême-Nord
347,Yaoundé Ier,Mfoundi,Centre
348,Yaoundé IIe,Mfoundi,Centre
349,Yaoundé IIIe,Mfoundi,Centre
350,Yaoundé IVe,Mfoundi,Centre
351,Yaoundé Ve,Mfoundi,Centre
352,Yaoundé VIe,Mfoundi,Centre
353,Yaoundé VIIe,Mfoundi,Centre
354,Yingui,Nkam,Littoral
355,Yokadouma,Boumba-et-Ngoko,Est
356,Yoko,Mbam-et-Kim,Centre
357,Zhoa,Menchum,Nord-Ouest
358,Zina,Logone-et-Chari,Extrême-Nord
359,Zoétélé,Dja-et-Lobo,Sud
